"ID","name","category","IAA","NAA","tir1_IAA","tir1_NAA","tir1vsSp","tir1vsSp_i","tir1vsSp_n"
"Mapoly0043s0010","MpTrihelix18","TF","none","none","none","none","none","none","none"
"Mapoly0043s0052","MpGID2","GA","none","down","none","none","none","none","down"
"Mapoly0043s0095","Mp1R-MYB12","TF","none","none","none","none","none","down","none"
"Mapoly0043s0098","MpB3-4/MpARF3","TF","none","up","none","none","none","none","up"
"Mapoly0043s0098","MpARF3","auxin","none","up","none","none","none","none","up"
"Mapoly0043s0128","MpARID-HMGbox","TF","none","none","none","none","none","none","none"
"Mapoly0045s0043","Mp1R-MYB13","TF","none","none","none","none","none","none","none"
"Mapoly0046s0038","MpERF10","TF","none","none","none","none","none","none","none"
"Mapoly0046s0060","MpASLBD5","TF","none","none","none","none","none","none","none"
"Mapoly0046s0102","MpbZIP10","TF","none","none","none","none","none","down","none"
"Mapoly0046s0122","MpTPS5","GA","none","down","none","down","down","down","down"
"Mapoly0467s0001","MpWRKY14","TF","none","none","none","none","none","none","up"
"Mapoly0047s0021","MpSAUR4","auxin","none","none","none","none","none","none","down"
"Mapoly0047s0034","MpGRAS5","TF","none","up","none","none","down","down","down"
"Mapoly0047s0121","MpGIF","TF","none","up","none","none","none","none","none"
"Mapoly0474s0001","MpB3-8/MpABI3B","TF","none","none","none","none","none","none","up"
"Mapoly0048s0045","MpAP2L3","TF","none","none","none","none","none","none","none"
"Mapoly0048s0052","MpYUC3","auxin","none","none","none","none","none","none","none"
"Mapoly0048s0099","MpbHLH42","TF","none","none","none","none","none","none","none"
"Mapoly0049s0030","MpBBX2","TF","none","none","none","none","none","none","up"
"Mapoly0049s0067","MpBBX3","TF","none","none","none","none","none","none","none"
"Mapoly0049s0083","MpSHI","TF","down","none","none","none","none","none","none"
"Mapoly0049s0118","MpRWP1","TF","none","up","none","none","none","down","none"
"Mapoly0005s0077","MpGATA1","TF","none","down","none","none","none","none","none"
"Mapoly0005s0139","MpCYP716","GA","none","none","none","none","none","none","down"
"Mapoly0005s0152","MpCCAAT-NFYC1","TF","none","down","none","none","down","down","down"
"Mapoly0005s0159","MpHD1/DDT1","TF","none","none","none","none","none","down","none"
"Mapoly0005s0166","NINJA","JA","none","none","none","none","none","none","none"
"Mapoly0005s0203","MpCSD","TF","none","none","none","none","none","none","none"
"Mapoly0005s0212","MpGATA2","TF","none","none","none","none","none","none","up"
"Mapoly0005s0280","MpLIM1","TF","none","none","none","none","none","none","none"
"Mapoly0050s0010","MpDP1","TF","none","none","none","none","none","none","none"
"Mapoly0050s0090","MpASLBD24","TF","none","none","none","none","up","up","up"
"Mapoly0050s0107","MpTPS6","GA","none","none","none","none","none","none","none"
"Mapoly0502s0001","MpbHLH43/LRL1","TF","none","up","none","none","down","down","down"
"Mapoly0508s0001","MpPYL3","ABA","none","none","none","none","none","none","none"
"Mapoly0051s0025","MpHMGbox5","TF","none","down","none","none","none","none","none"
"Mapoly0051s0029","MpTrihelix19","TF","none","up","none","none","none","none","none"
"Mapoly0051s0040","MpERF11","TF","none","none","none","none","up","up","up"
"Mapoly0051s0057","MpWRKY9","TF","none","none","none","none","none","down","none"
"Mapoly0051s0062","MpASLBD6","TF","none","none","none","none","down","down","down"
"Mapoly0051s0078","MpTPL","auxin","none","up","none","none","none","down","none"
"Mapoly0053s0002","MpERF12","TF","none","none","none","none","none","none","none"
"Mapoly0053s0058","MpCCAAT-NFYC2","TF","none","none","none","none","none","none","none"
"Mapoly0053s0073","MpGH3A","auxin","none","down","none","none","none","none","up"
"Mapoly0053s0108","MpPIN3","auxin","none","none","none","none","none","none","none"
"Mapoly0054s0021","MpbHLH11","TF","none","none","none","none","none","none","none"
"Mapoly0055s0044","MpGID1L7","GA","none","down","none","none","none","none","up"
"Mapoly0055s0052","MpbHLH45","TF","none","none","none","none","none","none","up"
"Mapoly0055s0125","PILS1","auxin","none","none","none","none","none","none","none"
"Mapoly0056s0059","MpTrihelix20","TF","none","up","none","none","none","none","none"
"Mapoly0056s0127","MpR2R3-MYB12","TF","none","none","none","none","none","none","none"
"Mapoly0057s0012","MpWRKY10","TF","none","none","none","none","none","none","none"
"Mapoly0057s0042","MpTrihelix21","TF","none","none","none","none","none","none","none"
"Mapoly0058s0005","Mp3R-MYB2","TF","none","none","none","none","none","none","none"
"Mapoly0058s0031","MpIDDL3","TF","none","none","none","none","down","down","down"
"Mapoly0058s0044","MpGRAS6/MpDELLA","TF","up","up","none","none","none","down","none"
"Mapoly0058s0044","MpDELLA","GA","up","up","none","none","none","down","none"
"Mapoly0058s0090","MpASLBD7","TF","none","none","none","none","none","none","none"
"Mapoly0006s0020","MIR529c","MIR","none","none","none","none","none","none","none"
"Mapoly0006s0064","MpC2H2-2","TF","none","none","none","none","none","none","none"
"Mapoly0006s0154","MpHD2/SAWADEE","TF","none","none","none","none","none","none","none"
"Mapoly0006s0205","MpAP2B3-1/MpREM4","TF","none","none","none","none","none","none","none"
"Mapoly0006s0226","MpR2R3-MYB2","TF","none","none","none","none","none","none","none"
"Mapoly0060s0052","MpERF13","TF","none","none","none","none","none","none","none"
"Mapoly0060s0079","MpSAUR3","auxin","none","none","none","none","none","none","none"
"Mapoly0060s0092","MpASLBD8","TF","none","none","none","none","none","none","none"
"Mapoly0061s0011","MpSUP","TF","none","none","none","none","none","none","none"
"Mapoly0061s0023","MpC2H2-8","TF","none","none","none","none","none","none","none"
"Mapoly0061s0030","MpWRKY11","TF","none","up","none","none","none","none","up"
"Mapoly0061s0069","Mp4R-MYB1","TF","none","none","none","none","none","none","none"
"Mapoly0061s0075","MpSnRK2A","ABA","none","up","none","none","none","none","none"
"Mapoly0061s0107","MpHD12/C3HDZ","TF","none","none","none","none","none","none","up"
"Mapoly0062s0002","MIR390","MIR","none","none","none","none","none","none","none"
"Mapoly0062s0083","MpARID3","TF","none","none","none","none","none","none","none"
"Mapoly0063s0040","MpYUC2","auxin","down","down","none","none","none","none","up"
"Mapoly0063s0098","MpHD13/MpPLINC","TF","none","none","none","none","none","down","none"
"Mapoly0064s0023","MpGRAS7","TF","none","none","none","none","none","none","none"
"Mapoly0064s0079","MpBBX4","TF","none","none","none","none","none","down","none"
"Mapoly0065s0031","MpAlfin2","TF","none","none","none","none","up","up","up"
"Mapoly0065s0047","MpTrihelix22","TF","none","none","none","none","none","none","none"
"Mapoly0065s0089","MpGRAS8","TF","none","none","none","none","down","down","down"
"Mapoly0066s0103","MpERF14","TF","none","down","none","none","none","none","up"
"Mapoly0068s0079","MpC2H2-9","TF","down","down","none","none","none","none","none"
"Mapoly0068s0088","MpERF15","TF","none","none","none","none","none","none","up"
"Mapoly0068s0088","MpERF1","ethylene","none","none","none","none","none","none","up"
"Mapoly0068s0102","MpTCP1","TF","none","none","none","none","none","none","none"
"Mapoly0069s0009","MpbZIP11/MpABI5A","TF","none","none","none","none","none","none","none"
"Mapoly0069s0009","MpABI5A","ABA","none","none","none","none","none","none","none"
"Mapoly0069s0060","MpC2H2-10","TF","none","down","none","down","none","none","none"
"Mapoly0069s0069","MpHD14/C2HDZ","TF","up","up","none","none","none","none","down"
"Mapoly0069s0069","MpC2HDZ","auxin","up","up","none","none","none","none","down"
"Mapoly0069s0082","MpC2H2-11","TF","none","none","none","none","none","none","none"
"Mapoly0007s0001","MpWRKY1","TF","none","none","none","none","none","down","none"
"Mapoly0007s0033","Mp1R-MYB2","TF","none","none","none","none","none","none","up"
"Mapoly0007s0056","MpbZIP2","TF","none","none","none","none","none","down","none"
"Mapoly0007s0221","MpHD3/C1HDZ","TF","down","none","none","none","up","up","up"
"Mapoly0007s0260","MIR11707.1","MIR","none","up","none","none","none","none","up"
"Mapoly0007s0265","MpR2R3-MYB3","TF","none","none","none","none","none","none","none"
"Mapoly0007s0271","MpR2R3-MYB4","TF","none","none","none","none","up","up","up"
"Mapoly0070s0028","MpC2H2-18","TF","none","none","none","none","none","none","none"
"Mapoly0070s0095","MpC2H2-12","TF","none","none","none","none","none","none","none"
"Mapoly0072s0031","MpBZR3","TF","none","none","none","none","none","none","none"
"Mapoly0072s0050","MpbZIP12/MpABI5B","TF","none","up","none","none","none","none","none"
"Mapoly0072s0050","MpABI5B","ABA","none","up","none","none","none","none","none"
"Mapoly0072s0075","MpR2R3-MYB13","TF","none","none","none","none","none","none","none"
"Mapoly0072s0102","MpAP2B3-1/MpRAV","TF","none","none","none","down","none","none","up"
"Mapoly0721s0001","MpASLBD18","TF","none","none","none","none","none","none","none"
"Mapoly0073s0038","MpR2R3-MYB14","TF","none","none","none","none","none","none","none"
"Mapoly0073s0051","MpbHLH40","TF","none","down","none","down","none","none","none"
"Mapoly0073s0059","MpbHLH39","TF","none","down","none","down","none","none","none"
"Mapoly0737s0001","MpbZIP15","TF","none","down","none","none","none","none","up"
"Mapoly0074s0026","MpB3-5/MpVAL","TF","none","none","none","none","none","none","none"
"Mapoly0074s0047","MpGATA4","TF","down","down","none","none","none","down","none"
"Mapoly0074s0081","MpCAMTA","TF","none","none","none","none","none","down","none"
"Mapoly0075s0050","MpncARF","auxin","none","none","none","none","none","none","up"
"Mapoly0075s0051","Mp1R-MYB14","TF","none","none","none","none","none","down","none"
"Mapoly0075s0052","MpABCB2","auxin","none","none","none","none","none","none","none"
"Mapoly0075s0053","MpABCB1","auxin","none","none","none","up","none","none","down"
"Mapoly0075s0066","Cytokinin receptors","cytokinin","none","none","none","none","none","none","none"
"Mapoly0076s0039","MpIDDL4","TF","none","none","none","none","none","down","none"
"Mapoly0078s0019","MpGeBP2","TF","none","none","none","none","none","none","up"
"Mapoly0078s0020","MpGeBP3","TF","none","none","none","none","none","none","none"
"Mapoly0079s0028","MpCTR1","ethylene","none","down","none","down","none","down","up"
"Mapoly0079s0050","MpCTR2","ethylene","none","none","none","none","none","none","none"
"Mapoly0079s0052","Mp1R-MYB15","TF","none","none","none","none","none","none","up"
"Mapoly0079s0062","MpGRAS12","TF","none","none","none","none","none","none","none"
"Mapoly0008s0016","Mp1R-MYB3","TF","none","none","none","none","none","none","none"
"Mapoly0008s0029","MpR2R3-MYB5","TF","none","up","none","none","up","up","up"
"Mapoly0008s0031","MpSPL4","TF","none","none","none","none","none","down","none"
"Mapoly0008s0060","MpASLBD2","TF","none","none","none","none","none","none","none"
"Mapoly0008s0071","MpAP2L1/MpANT","TF","none","up","none","none","none","none","up"
"Mapoly0008s0157","MpSKP2A","auxin","none","down","none","none","none","none","up"
"Mapoly0008s0159","MpWRKY2","TF","none","none","none","none","none","none","up"
"Mapoly0080s0037","MpASLBD9","TF","none","none","none","none","none","none","none"
"Mapoly0080s0053","MpLIM3","TF","none","down","none","none","none","none","none"
"Mapoly0080s0093","MpHD15/PHD","TF","none","none","none","none","none","none","none"
"Mapoly0811s0001","Mp1R-MYB22","TF","none","none","none","none","none","none","none"
"Mapoly0817s0001","MpASLBD19","TF","none","none","none","none","none","none","none"
"Mapoly0083s0007","MpGRAS11","TF","none","up","none","none","none","none","none"
"Mapoly0083s0040","MpNLP/MpNIN","TF","none","up","none","none","none","down","up"
"Mapoly0083s0069","MpIDDL5","TF","up","up","none","up","none","down","up"
"Mapoly0083s0076","MpIAR4A","auxin","up","none","none","none","none","none","none"
"Mapoly0084s0032","MpASLBD10","TF","none","none","none","none","none","none","none"
"Mapoly0084s0045","MpAMI1","auxin","none","none","none","none","none","none","none"
"Mapoly0084s0051","MpCXC3","TF","none","none","none","none","none","none","down"
"Mapoly0084s0085","Mp1R-MYB16","TF","none","none","none","none","none","none","none"
"Mapoly0085s0044","MpC2H2-13","TF","none","none","none","none","none","none","none"
"Mapoly0085s0081","MpTOC1","TF","none","down","none","none","none","down","none"
"Mapoly0085s0092","MpR2R3-MYB15","TF","none","down","none","none","none","none","none"
"Mapoly0086s0035","MpB3-6/MpABI3A","TF","none","up","none","none","none","none","down"
"Mapoly0086s0035","MpABI3A","ABA","none","up","none","none","none","none","down"
"Mapoly0086s0046","MpNAC9","TF","none","none","none","none","none","none","none"
"Mapoly0086s0081","MpTrihelix23","TF","none","none","none","none","none","none","none"
"Mapoly0874s0001","MpR2R3-MYB20","TF","none","up","none","none","up","up","up"
"Mapoly0088s0024","MpEIL/EIN3","TF","none","none","none","none","none","down","none"
"Mapoly0088s0024","MpEIN3","ethylene","none","none","none","none","none","down","none"
"Mapoly0088s0049","MpbHLH19","TF","none","up","none","none","none","none","none"
"Mapoly0089s0050","MpPIN1","auxin","none","none","none","none","none","none","none"
"Mapoly0089s0067","MpC2H2-14","TF","none","none","none","none","none","none","none"
"Mapoly0009s0010","Mp1R-MYB4","TF","none","none","none","none","none","down","none"
"Mapoly0009s0013","MpAP2L2","TF","none","none","none","none","none","none","none"
"Mapoly0009s0061","MpERF2","TF","none","none","none","none","none","none","none"
"Mapoly0009s0166","MpASLBD3","TF","none","none","none","none","none","none","none"
"Mapoly0090s0001","MpERF16","TF","none","none","none","none","none","none","none"
"Mapoly0090s0002","MpERF17","TF","none","none","none","none","none","up","none"
"Mapoly0090s0091","Mp1R-MYB17","TF","none","up","none","none","none","down","up"
"Mapoly0091s0008","MpbHLH28","TF","none","none","none","none","none","none","none"
"Mapoly0091s0012","Mp1R-MYB18","TF","none","down","none","none","none","none","down"
"Mapoly0091s0063","MpNAC5","TF","none","none","none","none","none","none","up"
"Mapoly0091s0072","HP","cytokinin","none","up","none","none","none","down","none"
"Mapoly0092s0004","Mp1R-MYB19","TF","none","up","none","none","none","none","none"
"Mapoly0092s0005","MpR2R3-MYB16","TF","none","none","none","none","none","none","none"
"Mapoly0092s0043","PILS3","auxin","none","none","none","none","up","up","up"
"Mapoly0092s0058","MpERF18","TF","none","down","none","none","none","up","none"
"Mapoly0093s0012","MpCKX2 cytokinin oxidase2","cytokinin","none","none","none","none","up","up","up"
"Mapoly0093s0018","MpASLBD11","TF","none","up","none","none","none","none","up"
"Mapoly0093s0028","MpHD16/MpBELL5","TF","none","none","none","none","none","none","none"
"Mapoly0093s0032","MpAP2B3-2/MpREM3","TF","none","none","none","none","none","none","none"
"Mapoly0093s0069","MpASLBD12","TF","none","none","none","none","up","up","up"
"Mapoly0094s0004","MpARID4","TF","none","none","none","none","none","none","none"
"Mapoly0094s0006","MpGTG","ABA","none","none","none","none","none","none","none"
"Mapoly0095s0022","MIR408","MIR","none","none","none","none","none","none","none"
"Mapoly0095s0037","MpC2H2-15","TF","none","none","none","none","none","none","none"
"Mapoly0095s0046","MpGATA5","TF","none","none","none","none","none","none","none"
"Mapoly0096s0050","MpIDDL6/MpWIP","TF","up","up","none","none","down","down","down"
"Mapoly0096s0050","MpWIP","auxin","up","up","none","none","down","down","down"
"Mapoly0096s0058","MpR2R3-MYB17","TF","none","none","none","up","none","none","down"
"Mapoly0097s0021","MpJAZ","JA","none","none","none","none","none","none","none"
"Mapoly0097s0049","MpTPS4","GA","none","none","none","none","none","down","none"
"Mapoly0097s0062","MpASLBD13","TF","none","none","none","none","none","none","none"
"Mapoly0098s0016","MIR319a","MIR","none","none","none","none","none","none","none"
"Mapoly0098s0044","MpGARP3/MpPHR1","TF","none","none","none","none","none","none","up"
"Mapoly0098s0046","MpbHLH10","TF","up","none","none","none","none","none","up"
"Mapoly-CUFF.21668","MpASLBD23","TF","none","none","none","none","none","none","none"
