"ID","name","category","IAA","NAA","tir1_IAA","tir1_NAA","tir1vsSp","tir1vsSp_i","tir1vsSp_n"
"Mapoly0013s0114","MpGID1L4","GA","none","none","none","none","none","down","none"
"Mapoly0013s0116","MpGID1L5","GA","none","none","none","none","none","none","up"
"Mapoly0013s0135","MpTrihelix10","TF","none","none","none","none","none","none","none"
"Mapoly0013s0145","Mp1R-MYB5","TF","none","up","none","none","none","none","none"
"Mapoly0013s0153","MpAO","ABA","none","none","none","none","none","none","none"
"Mapoly0013s0167","MpbHLH51","TF","none","none","none","none","none","none","none"
"Mapoly0013s0172","MpIDDL1","TF","none","up","none","none","none","none","up"
"Mapoly0130s0002","MpKOL3","GA","none","none","none","none","none","none","none"
"Mapoly0130s0003","MpKOL2","GA","none","none","none","none","none","none","none"
"Mapoly0130s0023","MpTrihelix29","TF","none","none","none","none","none","down","none"
"Mapoly0130s0030","MpbZIP14","TF","none","none","none","none","none","none","none"
"Mapoly0130s0035","MpTrihelix30","TF","none","none","none","none","none","none","up"
"Mapoly0132s0008","MpHD17/MpBELL2","TF","none","none","none","none","none","none","none"
"Mapoly0132s0016","MpTrihelix31","TF","none","none","none","none","none","none","none"
"Mapoly0132s0029","Mp3R-MYB3","TF","none","none","none","none","none","none","none"
"Mapoly0132s0031","Mp3R-MYB4","TF","none","none","none","none","none","none","none"
"Mapoly0133s0031","MpGID1L8","GA","none","down","none","none","none","down","none"
"Mapoly0134s0007","MpABA4","ABA","none","none","none","none","none","none","none"
"Mapoly0134s0020","PILS2","auxin","none","up","none","none","none","up","none"
"Mapoly1350s0001","MpGRF","TF","down","none","none","none","none","down","none"
"Mapoly0136s0025","MpERF20","TF","none","none","none","none","up","up","up"
"Mapoly0138s0004","MpCBF5","TF","none","none","none","none","none","up","none"
"Mapoly0014s0044","MpRWP2/MpMID","TF","none","none","none","none","none","none","none"
"Mapoly0014s0060","MpHD6/WOX","TF","none","down","none","down","none","none","up"
"Mapoly0014s0183","MpGRAS3","TF","none","none","none","none","none","none","down"
"Mapoly0014s0193","Mp1R-MYB6","TF","none","none","none","none","none","none","none"
"Mapoly0014s0195","MpCDC5","TF","none","none","none","none","none","down","none"
"Mapoly0014s0223","MpSPL2","TF","none","none","none","none","up","up","up"
"Mapoly0014s0224","MpSPL1","TF","none","none","none","none","none","none","none"
"Mapoly0140s0010","MpKOL1","GA","none","up","none","none","down","down","down"
"Mapoly0142s0034","MpTrihelix32","TF","none","down","none","none","none","down","none"
"Mapoly0143s0011","MpRR-MYB5","TF","none","none","none","none","none","none","none"
"Mapoly0144s0031","MpAP2L4","TF","none","none","none","none","none","none","none"
"Mapoly0144s0032","MpAP2L5","TF","none","none","none","none","none","none","none"
"Mapoly0144s0033","MpAP2L6","TF","none","none","none","none","none","none","none"
"Mapoly0145s0004","MpPYL5","ABA","none","none","none","none","none","none","none"
"Mapoly0148s0001","MpPPP1","TF","none","none","none","none","none","none","none"
"Mapoly0148s0036","MpSAUR6","auxin","none","none","none","none","none","none","none"
"Mapoly1480s0001","MpAP2L7","TF","none","none","none","none","none","none","none"
"Mapoly0015s0001","MpbHLH30","TF","none","none","none","none","none","none","none"
"Mapoly0015s0003","MpbHLH29","TF","none","none","none","none","none","none","none"
"Mapoly0015s0005","MpbZIP4","TF","none","down","none","none","down","down","down"
"Mapoly0015s0008","MpTPS3","GA","none","none","none","none","down","down","down"
"Mapoly0015s0058","MpNAC1","TF","none","down","none","none","none","none","up"
"Mapoly0015s0066","MpNCED","ABA","none","up","none","none","none","none","none"
"Mapoly0015s0087","MIR11697 ","MIR","none","down","none","none","none","none","up"
"Mapoly0015s0087","MpMIRYUC2","auxin","none","down","none","none","none","none","up"
"Mapoly0015s0121","MpTrihelix11","TF","none","none","none","none","none","none","none"
"Mapoly0015s0164","MpB3-2/MpREM2","TF","none","up","none","none","none","down","none"
"Mapoly0150s0001","Mp3R-MYB5","TF","none","none","none","none","none","none","none"
"Mapoly0150s0015","MpbHLH16","TF","none","none","none","none","none","none","none"
"Mapoly0150s0016","MpbHLH17","TF","none","none","none","none","none","none","none"
"Mapoly0151s0042","MpAThook3","TF","none","none","none","none","none","none","none"
"Mapoly0152s0027","MpASLBD14","TF","none","none","none","none","none","none","none"
"Mapoly0153s0037","MpC2H2-17","TF","none","none","none","none","none","none","none"
"Mapoly0153s0039","MpASLBD15","TF","none","none","none","none","none","none","none"
"Mapoly0154s0032","MpCTR3","ethylene","none","none","none","none","none","none","none"
"Mapoly0154s0047","MpNFX1-2","TF","none","none","none","none","none","none","none"
"Mapoly0155s0008","MpTrihelix33","TF","none","down","none","none","none","down","none"
"Mapoly0156s0007","MpGARP8/MpGLD","TF","none","none","none","none","none","none","down"
"Mapoly0156s0012","MpHD18/C4HDZ","TF","none","none","none","none","none","down","none"
"Mapoly0157s0009","MpGARP2/MpENO","TF","none","none","none","none","none","none","none"
"Mapoly1575s0001","MpYUC5","auxin","none","none","none","none","none","none","none"
"Mapoly1576s0001","MpGRAS10","TF","none","up","none","none","none","none","up"
"Mapoly0158s0003","MpRR-MYB6","TF","none","up","none","none","none","none","none"
"Mapoly0159s0017","MpTrihelix34","TF","none","none","none","none","none","none","down"
"Mapoly0159s0028","MpTrihelix35","TF","none","down","none","none","none","none","down"
"Mapoly0159s0029","MpDEL1","TF","none","up","none","none","none","none","none"
"Mapoly0016s0064","MpC2H2-4","TF","none","none","none","none","none","up","none"
"Mapoly0016s0098","MpbZIP5","TF","none","none","none","none","none","down","none"
"Mapoly0016s0110","MpbHLH18","TF","none","none","none","none","none","none","none"
"Mapoly0016s0123","MpSAUR2","auxin","none","up","none","none","none","none","none"
"Mapoly0162s0001","MpWRKY12","TF","none","none","none","none","none","down","none"
"Mapoly0162s0003","MpWRKY13","TF","none","none","none","none","none","none","none"
"Mapoly0162s0017","Mp1R-MYB20","TF","none","none","none","none","none","none","up"
